source_record_id,vehicle_ref,owner_first_name,owner_last_name,event_type,event_state,event_date
TTL-YM08BLBSR1,VH-8177541146,SYNGIV-N,SYNFAM-Nspy,title_record,DE,2021-10-03
TTL-5OER76UA9F,VH-8177541146,SYNGIV-Nwzgpc,SYNFAM-Nspy,ownership_change,NJ,2024-04-15
TTL-QARROK9Q8U,VH-8177541146,SYNGIV-Nwzgpc,SYNFAM-Nspy,record_update,DE,2025-07-18
TTL-J6FIFXCZEN,VH-8177541146,SYNGIV-Uzlyyp,SYNFAM-Nspy,record_update,NJ,2025-10-28
TTL-4OTAFEJYRH,VH-5805429583,SYNGIV-Xzcrly,SYNFAM-Htwwtd,title_record,PA,2021-07-09
TTL-JDAYV7S6MF,VH-5805429583,SYNGIV-Xzcrly,SYNFAM-Htwwtd,ownership_change,,2023-12-09
TTL-Q8M2ADXVP4,VH-5805429583,SYNGIV-Vctd,SYNFAM-HTWWTD,record_update,PA,2024-10-23
TTL-F9YJSSQ417,VH-5805429583,SYNGIV-Xzcrly,SYNFAM-HTWWTD,record_update,DE,2026-01-15
TTL-GPJWKY38I3,VH-5939769280,SYNGIV-Mplectnp,SYNFAM-Czopmlnv,title_record,MD,2021-06-25
TTL-AHKOFNB2DV,VH-5939769280,SYNGIV-Mplectn,SYNFAM-Czopmlnv,ownership_change,DE,2024-02-25
TTL-6F7W8VEY2H,VH-5939769280,SYNGIV-Nsctde,SYNFAM-Nlxampww,record_update,DE,2025-02-08
TTL-43EJ9XSX0G,VH-5939769280,SYNGIV-Mplectnp,SYNFAM-Czopmlnv,record_update,MD,2025-10-29
TTL-HZJFJUSVN2,VH-7787957177,SYNGIV-Xfyl,SYNFAM-Nzzy,title_record,DE,2021-06-07
TTL-R7KS3CT4SE,VH-7787957177,SYNGIV-Xfyl,SYNFAM-Nzzy,ownership_change,NJ,2024-02-22
TTL-492TU2KN58,VH-7787957177,SYNGIV-Upcczo,SYNFAM-Nzzy,record_update,NJ,2024-05-10
TTL-EP3Z5RO446,VH-7787957177,SYNGIV-Xfyl,SYNFAM-zNzy,record_update,DE,2024-10-14
TTL-7SPOYP8T3Y,VH-6518352646,SYNGIV-Olgt,SYNFAM-Uzypd,title_record,DE,2022-01-26
TTL-1PZXZD0X0I,VH-6518352646,SYNGIV-Mcteeypj,SYNFAM-Htwwtlxd,ownership_change,NY,2023-10-09
TTL-0SWB9MFQ7A,VH-6518352646,SYNGIV-Mcteeypj,SYNFAM-Htwwtlxd,record_update,NY,2025-08-20
TTL-RNLY7GPKXC,VH-6518352646,SYNGIV-Mcteeypj,SYNFAM-Htwwtlxd,record_update,DE,2026-03-09
TTL-DDR6TVM52Z,VH-3770037691,SYNGIV-Apepc,SYNFAM-Oldrfael,title_record,DE,2021-07-04
TTL-FLQYOPW1E9,VH-3770037691,SYNGIV-Apepc,SYNFAM-Oldrfael,ownership_change,PA,2023-12-10
TTL-26HSCZ49G7,VH-3770037691,SYNGIV-Apep,SYNFAM-Oldrfael,record_update,DE,2024-04-08
TTL-F43CISO560,VH-3770037691,SYNGIV-Rpclcoz,SYNFAM-Oldrfael,record_update,PA,2025-10-08
TTL-JS3108JHTR,VH-0817113779,SYNGIV-Ulxpd,SYNFAM-Glwpyety,title_record,DE,2022-06-25
TTL-3PQ651KVGA,VH-0817113779,SYNGIV-Ulxpd,SYNFAM-Gwlpyety,ownership_change,NJ,2023-09-12
TTL-8B3C0Q09ML,VH-0817113779,SYNGIV-W,SYNFAM-Nctxxtyd,record_update,NJ,2025-09-23
TTL-4KC2EO4QBL,VH-0817113779,SYNGIV-U,SYNFAM-Glwpyety,record_update,DE,2026-02-02
