source_record_id,release_batch,source_domain,record_action,first_name,last_name,state,vehicle_ref,effective_date,observed_date,source_description
UP6O3KPJF8PSAKDN,T1,title,status_update,SYNGIV-N,SYNFAM-NSPY,DE,VH-8177541146,2026-06-23,2026-08-09,source_refresh_b
UP6JG4HXVWU08ZU3,T1,external,record_correction,SYNGIV-Uzlyyp,SYNFAM-Nspy,NJ,,2026-07-15,2026-08-11,late_event_feed_d
UP64N71TSZ5TMCER,T1,title,new_record,SYNGIV-Xzcrly,SYNFAM-Htwwtd,PA,VH-5805429583,2026-06-18,2026-08-11,late_event_feed_d
UP6OR2869U8URY1K,T1,title,status_update,SYNGIV-Xzcrly,SYNFAM-Htwwtd,PA,VH-5805429583,2026-07-22,2026-08-11,source_refresh_b
UP6FUNFRWP842HX3,T1,title,new_record,SYNGIV-Mplectnp,SYNFAM-Czopmlnv,DE,VH-5939769280,2026-07-11,2026-08-09,source_refresh_b
UP6QUUY25LP32WS2,T1,title,new_record,SYNGIV-N,SYNFAM-Nlxampww,MD,VH-5939769280,2026-06-25,2026-08-11,source_refresh_a
UP6CL8X2GP7JO3UM,T1,address,new_record,SYNGIV-Xfyl,SYNFAM-Nzzy,DE,,2026-07-27,2026-08-08,source_refresh_b
UP6PBZXYU2WZLRU2,T1,external,record_correction,SYNGIV-Upcczo,SYNFAM-Nzzy,DE,,2026-06-25,2026-08-11,source_refresh_a
UP6KO6X5FZUSXG8X,T1,address,status_update,SYNGIV-Mcteeypj,SYNFAM-Htwwtlxd,NY,,2026-08-05,2026-08-11,source_refresh_a
UP6TDOIANIQQ3OVD,T1,license,status_update,SYNGIV-Mcteeypj,SYNFAM-Htwwtlxd,DE,,2026-07-18,2026-08-09,correction_feed_c
UP6P5OK9ED93N34T,T1,address,record_correction,SYNGIV-Apepc,SYNFAM-Oldrfael,PA,,2026-06-21,2026-08-11,source_refresh_a
UP6YEZQEEU2AH71P,T1,title,new_record,SYNGIV-Apepc,SYNFAM-Oldrfael,DE,VH-3770037691,2026-08-02,2026-08-09,source_refresh_b
UP659WTLXVISN9BS,T1,external,status_update,SYNGIV-Ulxpd,SYNFAM-GLWPYETY,NJ,,2026-06-26,2026-08-10,late_event_feed_d
UP6JQV01QR7UCZJA,T1,title,new_record,SYNGIV-Ulxpd,SYNFAM-Glwpyety,DE,VH-0817113779,2026-06-29,2026-08-10,source_refresh_a
UP6GW4E5ZMWWCGKY,T1,external,status_update,SYNGIV-Jlvzg,SYNFAM-Deptypc,DE,,2026-07-08,2026-08-09,late_event_feed_d
UP6HZAUS6J5LTE8P,T1,title,new_record,SYNGIV-Jlvzg,SYNFAM-Deptypc,MD,VH-3394103305,2026-07-30,2026-08-11,late_event_feed_d
UP6PSPZ07WWD3PCY,T1,external,record_correction,SYNGIV-Xtrfpw,SYNFAM-Ulnvdzy,DE,,2026-07-27,2026-08-11,source_refresh_b
UP63Y9IGH5WPNYEM,T1,license,record_correction,SYNGIV-Optcocp,SYNFAM-Ulnvdzy,DE,,2026-08-03,2026-08-10,source_refresh_a
UP61XPLEW4QRPFTA,T1,address,record_correction,SYNGIV-Dlcl,SYNFAM-Rftyfa,DE,,2026-07-24,2026-08-09,source_refresh_b
UP69FQICT68LAHHZ,T1,title,status_update,SYNGIV-DLCL,SYNFAM-Rftyfa,DE,VH-2834389441,2026-07-03,2026-08-10,late_event_feed_d
UP6XWYXRPRKMZE5Y,T1,address,status_update,SYNGIV-Czntz,SYNFAM-Dtdwz,DE,,2026-06-22,2026-08-09,source_refresh_b
UP6NOIAUDJBTLISR,T1,license,record_correction,SYNGIV-Cznt,SYNFAM-Dtdwz,DE,,2026-07-14,2026-08-08,correction_feed_c
UP6K3UTGS4D7FL17,T1,address,record_correction,SYNGIV-Upqq,SYNFAM-Vtxmlww,,,2026-07-23,2026-08-09,source_refresh_b
UP6VOO30JT4RK9J2,T1,license,new_record,SYNGIV-Upqq,SYNFAM-Vtxmlww,DE,,2026-08-08,2026-08-10,late_event_feed_d
UP6N5GOEER22528L,T1,address,new_record,SYNGIV-Wpyyzi,SYNFAM-Gltw,MD,,2026-07-31,2026-08-10,correction_feed_c
UP63F7PRR6YL2XVI,T1,external,new_record,SYNGIV-WPYYZI,SYNFAM-Gltw,MD,,2026-07-30,2026-08-08,correction_feed_c
UP62RDYFY67YOYJD,T1,license,status_update,SYNGIV-Uljopy,SYNFAM-Strfpcl,,,2026-07-14,2026-08-10,source_refresh_a
UP6OYBN539FPDVWQ,T1,external,new_record,SYNGIV-Uljopy,SYNFAM-Strfpcl,MD,,2026-06-27,2026-08-10,correction_feed_c
UP6R21FKC6NBOEX2,T1,address,record_correction,SYNGIV-Lfcmpj,SYNFAM-Qzhwpc,DE,,2026-07-19,2026-08-11,late_event_feed_d
UP6IF900V4ZRJIQ7,T1,external,record_correction,SYNGIV-Lmfcp,SYNFAM-Qzhwpc,VA,,2026-07-26,2026-08-11,source_refresh_b
UP6EY8BLP5EVQJR0,T1,title,new_record,SYNGIV-Q,SYNFAM-Jzfyr,NC,VH-4250436148,2026-07-02,2026-08-09,source_refresh_a
UP6KDMPES07T00PP,T1,license,record_correction,SYNGIV-Nlcw,SYNFAM-zHzolco,NC,,2026-06-22,2026-08-09,late_event_feed_d
UP6W16OLEUEKFRHC,T1,address,new_record,SYNGIV-Depaspy,SYNFAM-DEPPWP,DE,,2026-07-26,2026-08-10,late_event_feed_d
UP6KMDCVWB4V0YSL,T1,title,new_record,SYNGIV-Depaspy,SYNFAM-Deppwp,NJ,VH-7812493406,2026-06-26,2026-08-11,source_refresh_b
UP6A862LI3EX9X2O,T1,title,record_correction,SYNGIV-Lfdety,SYNFAM-DWLPXP,NJ,VH-5188897544,2026-07-01,2026-08-08,source_refresh_b
UP6O176NNW1XBJYV,T1,address,new_record,SYNGIV-Lfdety,SYNFAM-Dlwpxp,DE,,2026-07-07,2026-08-11,correction_feed_c
UP6XS7QS0L2ZCCZY,T1,title,status_update,SYNGIV-Ylelwj,SYNFAM-Appcdzy,FL,VH-5492322340,2026-07-02,2026-08-10,correction_feed_c
UP6A1OVK3LQFODN8,T1,license,record_correction,SYNGIV-RCPR,SYNFAM-Vlctx,DE,,2026-07-27,2026-08-10,source_refresh_a
UP6OUK136S5IMTPC,T1,address,new_record,SYNGIV-Efnvpc,SYNFAM-Mpmzfe,DE,,2026-07-13,2026-08-08,source_refresh_a
UP6J39RP86BMKC8J,T1,external,record_correction,SYNGIV-Elxt,SYNFAM-Mlfpc,DE,,2026-07-10,2026-08-09,source_refresh_a
UP6TIBXXF6728NPA,T1,address,status_update,SYNGIV-Xtclyol,SYNFAM-Xpwz,MD,,2026-06-24,2026-08-09,late_event_feed_d
UP6YRLYXC8NIFZ7X,T1,license,new_record,SYNGIV-S,SYNFAM-Mppepx,MD,,2026-07-21,2026-08-08,late_event_feed_d
UP6ZTDQBGGVT2CK8,T1,license,record_correction,SYNGIV-U,SYNFAM-Dlyozglw,DE,,2026-06-30,2026-08-08,source_refresh_a
UP63EPZ5XZRYCNVW,T1,license,new_record,SYNGIV-L,SYNFAM-Dlyozglw,NY,,2026-06-30,2026-08-10,source_refresh_b
UP65DLJNVKMULWF5,T1,external,record_correction,SYNGIV-Opmzcls,SYNFAM-Czdld,MD,,2026-07-23,2026-08-11,correction_feed_c
UP6A6Y4GW1F5XSMS,T1,external,record_correction,SYNGIV-Upyytqpc,SYNFAM-Mczzvd,MD,,2026-08-01,2026-08-09,late_event_feed_d
UP69DMF7DALKDIZL,T1,license,new_record,SYNGIV-Uzdpas,SYNFAM-Wzapk,DE,,2026-07-21,2026-08-11,late_event_feed_d
UP6WAJD5ESHHT141,T1,external,new_record,SYNGIV-Uzsy,SYNFAM-Nzcepk,DE,,2026-07-14,2026-08-09,late_event_feed_d
UP6PR8YST0XM6VGN,T1,license,status_update,SYNGIV-Xtjzvz,SYNFAM-Wt,DE,,2026-06-25,2026-08-11,correction_feed_c
UP6UZT665AJXHRV9,T1,address,status_update,SYNGIV-Upddtnl,SYNFAM-Wt,DE,,2026-06-27,2026-08-09,correction_feed_c
UP6ILUNCDNMEOD6H,T1,title,new_record,SYNGIV-Pwltyp,SYNFAM-Dtyrs,DE,VH-0280092112,2026-07-06,2026-08-08,correction_feed_c
UP6M7JWRMU07MWYQ,T1,title,record_correction,SYNGIV-Pwltyp,SYNFAM-Dtyrs,DE,VH-0280092112,2026-07-24,2026-08-08,source_refresh_a
UP613KWM6XKJFYQ7,T1,address,new_record,SYNGIV-Uzdpwjy,SYNFAM-Qtrfpczl,SC,,2026-07-31,2026-08-10,correction_feed_c
UP6K2CEO2DNCXELR,T1,title,status_update,SYNGIV-Uzdpwjy,SYNFAM-Qtrfpczl,SC,VH-5034586044,2026-07-17,2026-08-10,source_refresh_a
UP67M1ZUBZTPZ9SJ,T1,address,record_correction,SYNGIV-Olhy,SYNFAM-Spcylyopk,MD,,2026-07-10,2026-08-09,source_refresh_a
UP6OQ01D3058L26N,T1,external,new_record,SYNGIV-Ohly,SYNFAM-Spcylyopk,MD,,2026-06-22,2026-08-10,source_refresh_a
UP65GYND7S0U4FGX,T1,title,status_update,SYNGIV-Opmcl,SYNFAM-Nspdepc,DE,VH-2268594026,2026-07-30,2026-08-10,correction_feed_c
UP68630MVQBPYRFC,T1,external,status_update,SYNGIV-Opmc,SYNFAM-Nspdepc,DE,,2026-08-02,2026-08-11,source_refresh_b
UP6S9Y5MMMOZEI37,T1,license,record_correction,SYNGIV-Uldzy,SYNFAM-Xzcepydpy,DE,,2026-07-08,2026-08-11,correction_feed_c
UP60FNNAOB6YP7FE,T1,license,record_correction,SYNGIV-Mpyulxty,SYNFAM-Ozwpklw,DE,,2026-07-28,2026-08-10,source_refresh_b
UP6KEF9FW8Y32HQE,T1,external,new_record,SYNGIV-Xlcrlctel,SYNFAM-Lwtazfc,MD,,2026-07-25,2026-08-11,source_refresh_b
